"","kingdom","phylum","class","order","family","genus","species"
"ASV_43","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV_44","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_45","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__bellidis"
"ASV_46","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Ophiognomonia","s__setacea"
"ASV_47","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae",NA,NA
"ASV_48","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_49","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_50","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__thailandicum"
"ASV_51","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Efibulobasidium",NA
"ASV_52","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"ASV_53","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Linnemannia","s__amoeboidea"
"ASV_54","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis",NA
"ASV_55","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__aureocitrinum"
"ASV_56","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_57",NA,NA,NA,NA,NA,NA,NA
"ASV_58",NA,NA,NA,NA,NA,NA,NA
"ASV_59","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae",NA,NA
"ASV_60",NA,NA,NA,NA,NA,NA,NA
"ASV_61","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium",NA
"ASV_62","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_63","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__confluens"
"ASV_64",NA,NA,NA,NA,NA,NA,NA
"ASV_65","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__inaequalis"
"ASV_66",NA,NA,NA,NA,NA,NA,NA
"ASV_67","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"ASV_68","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Circinotrichum","s__maculiforme"
"ASV_69",NA,NA,NA,NA,NA,NA,NA
"ASV_70","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae",NA,NA
"ASV_71",NA,NA,NA,NA,NA,NA,NA
"ASV_72","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_73","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma",NA
"ASV_74","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__radicina"
"ASV_75","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__tallbackaensis"
"ASV_76","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_77","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Helicogoniaceae","g__Eleutheromyces",NA
"ASV_78","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA
"ASV_79",NA,NA,NA,NA,NA,NA,NA
"ASV_80","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__ledniceana"
"ASV_81","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_82",NA,NA,NA,NA,NA,NA,NA
"ASV_83",NA,NA,NA,NA,NA,NA,NA
"ASV_84","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_85",NA,NA,NA,NA,NA,NA,NA
"ASV_86","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus",NA
"ASV_87","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Hyphodermella","s__rosae"
"ASV_88",NA,NA,NA,NA,NA,NA,NA
"ASV_89","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_90","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__notodryinum"
"ASV_91",NA,NA,NA,NA,NA,NA,NA
"ASV_92","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"ASV_93","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"ASV_94","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Butlerelfia","s__eustacei"
"ASV_95",NA,NA,NA,NA,NA,NA,NA
"ASV_96","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma",NA
"ASV_97",NA,NA,NA,NA,NA,NA,NA
"ASV_98","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma",NA
"ASV_99",NA,NA,NA,NA,NA,NA,NA
"ASV_100","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_101","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Discosiaceae","g__Discosia",NA
"ASV_102","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_103",NA,NA,NA,NA,NA,NA,NA
"ASV_104","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae",NA,NA
"ASV_105",NA,NA,NA,NA,NA,NA,NA
"ASV_106","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Paraboeremia","s__selaginellae"
"ASV_107","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__notodryinum"
"ASV_108","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_109","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__tabarestanensis"
"ASV_110",NA,NA,NA,NA,NA,NA,NA
"ASV_111","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_112","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","s__gibbosa"
"ASV_113","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_114",NA,NA,NA,NA,NA,NA,NA
"ASV_115","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium",NA
"ASV_116","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_117",NA,NA,NA,NA,NA,NA,NA
"ASV_118","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Efibulobasidium",NA
"ASV_119","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Microsporomycetaceae","g__Microsporomycetaceae_gen_Incertae_sedis",NA
"ASV_120","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_121","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma","s__acutofulvum"
"ASV_122","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_123",NA,NA,NA,NA,NA,NA,NA
"ASV_124","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hymenogaster",NA
"ASV_125",NA,NA,NA,NA,NA,NA,NA
"ASV_126","k__Stramenopila","p__Ochrophyta",NA,NA,NA,NA,NA
"ASV_127","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Discosiaceae","g__Discosia",NA
"ASV_128",NA,NA,NA,NA,NA,NA,NA
"ASV_129",NA,NA,NA,NA,NA,NA,NA
"ASV_130",NA,NA,NA,NA,NA,NA,NA
"ASV_131","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Stagonosporopsis",NA
"ASV_132",NA,NA,NA,NA,NA,NA,NA
"ASV_133",NA,NA,NA,NA,NA,NA,NA
"ASV_134","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"ASV_135",NA,NA,NA,NA,NA,NA,NA
"ASV_136","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Immersidiscosia","s__eucalypti"
"ASV_137","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__flanaganii"
"ASV_138",NA,NA,NA,NA,NA,NA,NA
"ASV_139","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_140","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ASV_141",NA,NA,NA,NA,NA,NA,NA
"ASV_142",NA,NA,NA,NA,NA,NA,NA
"ASV_143","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_144",NA,NA,NA,NA,NA,NA,NA
"ASV_145","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__symmetrica"
"ASV_146","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__frigida"
"ASV_147",NA,NA,NA,NA,NA,NA,NA
"ASV_148","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Herpotrichia",NA
"ASV_149","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Tuberaceae","g__Tuber","s__lyonii"
"ASV_150","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Cylindrosympodiaceae","g__Cylindrosympodium",NA
"ASV_151",NA,NA,NA,NA,NA,NA,NA
"ASV_152",NA,NA,NA,NA,NA,NA,NA
"ASV_153","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"ASV_154","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora","s__acuminata"
"ASV_155","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"ASV_156",NA,NA,NA,NA,NA,NA,NA
"ASV_157","k__Fungi","p__Kickxellomycota","c__Kickxellomycota_cls_Incertae_sedis","o__Kickxellomycota_ord_Incertae_sedis","f__Kickxellomycota_fam_Incertae_sedis","g__Kickxellomycota_gen_Incertae_sedis",NA
"ASV_158",NA,NA,NA,NA,NA,NA,NA
"ASV_159","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_160",NA,NA,NA,NA,NA,NA,NA
"ASV_161","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_162","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__poagena"
"ASV_163","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_164",NA,NA,NA,NA,NA,NA,NA
"ASV_165",NA,NA,NA,NA,NA,NA,NA
"ASV_166",NA,NA,NA,NA,NA,NA,NA
"ASV_167",NA,NA,NA,NA,NA,NA,NA
"ASV_168","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae",NA,NA
"ASV_169","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus",NA
"ASV_170","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"ASV_171","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Helicogoniaceae","g__Eleutheromyces",NA
"ASV_172",NA,NA,NA,NA,NA,NA,NA
"ASV_173","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella","s__arnaudii"
"ASV_174","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae",NA,NA
"ASV_175","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae",NA,NA
"ASV_176","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Pseudoanungitea",NA
"ASV_177",NA,NA,NA,NA,NA,NA,NA
"ASV_178","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"ASV_179","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__quadriseptata"
"ASV_180","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_181",NA,NA,NA,NA,NA,NA,NA
"ASV_182",NA,NA,NA,NA,NA,NA,NA
"ASV_183","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"ASV_184","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__ambigua"
"ASV_185",NA,NA,NA,NA,NA,NA,NA
"ASV_186",NA,NA,NA,NA,NA,NA,NA
"ASV_187","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae",NA,NA
"ASV_188","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","s__roseipellis"
"ASV_189","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_190",NA,NA,NA,NA,NA,NA,NA
"ASV_191","k__Protista","p__Bacillariophyta","c__Bacillariophyta_cls_Incertae_sedis","o__Bacillariophyta_ord_Incertae_sedis","f__Bacillariophyta_fam_Incertae_sedis","g__Bacillariophyta_gen_Incertae_sedis",NA
"ASV_192","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Pholiota","s__tennesseensis"
"ASV_193","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_194",NA,NA,NA,NA,NA,NA,NA
"ASV_195",NA,NA,NA,NA,NA,NA,NA
"ASV_196","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"ASV_197","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"ASV_198","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_199","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellales_fam_Incertae_sedis","g__Mortierellales_gen_Incertae_sedis",NA
"ASV_200",NA,NA,NA,NA,NA,NA,NA
"ASV_201",NA,NA,NA,NA,NA,NA,NA
"ASV_202","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cylindriaceae","g__Cylindrium",NA
"ASV_203","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_204","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae",NA,NA
"ASV_205",NA,NA,NA,NA,NA,NA,NA
"ASV_206",NA,NA,NA,NA,NA,NA,NA
"ASV_207",NA,NA,NA,NA,NA,NA,NA
"ASV_208",NA,NA,NA,NA,NA,NA,NA
"ASV_209","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__flanaganii"
"ASV_210",NA,NA,NA,NA,NA,NA,NA
"ASV_211","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucariaceae_gen_Incertae_sedis",NA
"ASV_212",NA,NA,NA,NA,NA,NA,NA
"ASV_213",NA,NA,NA,NA,NA,NA,NA
"ASV_214","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia",NA
"ASV_215","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora","s__prunorum"
"ASV_216",NA,NA,NA,NA,NA,NA,NA
"ASV_217",NA,NA,NA,NA,NA,NA,NA
"ASV_218",NA,NA,NA,NA,NA,NA,NA
"ASV_219","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Cymbellales","f__Gomphonemataceae","g__Gomphonema","s__parvulum"
"ASV_220",NA,NA,NA,NA,NA,NA,NA
"ASV_221","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"ASV_222",NA,NA,NA,NA,NA,NA,NA
"ASV_223",NA,NA,NA,NA,NA,NA,NA
"ASV_224","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Cercospora",NA
"ASV_225",NA,NA,NA,NA,NA,NA,NA
"ASV_226",NA,NA,NA,NA,NA,NA,NA
"ASV_227","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_228","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Parafenestella","s__salicis"
"ASV_229","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__laurentii"
"ASV_230","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Cymbellales","f__Gomphonemataceae","g__Gomphonema","s__parvulum"
"ASV_231",NA,NA,NA,NA,NA,NA,NA
"ASV_232","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora",NA
"ASV_233","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__sporulosa"
"ASV_234",NA,NA,NA,NA,NA,NA,NA
"ASV_235","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__changchunensis"
"ASV_236","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"ASV_237",NA,NA,NA,NA,NA,NA,NA
"ASV_238","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__buxi"
"ASV_239","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus",NA
"ASV_240","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_241","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__atrocastanea"
"ASV_242","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__zsoltii"
"ASV_243","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina","s__incrustans"
"ASV_244","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_245",NA,NA,NA,NA,NA,NA,NA
"ASV_246","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium","s__cboliae"
"ASV_247","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales",NA,NA,NA
"ASV_248",NA,NA,NA,NA,NA,NA,NA
"ASV_249",NA,NA,NA,NA,NA,NA,NA
"ASV_250","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_251",NA,NA,NA,NA,NA,NA,NA
"ASV_252","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia",NA
"ASV_253","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV_254",NA,NA,NA,NA,NA,NA,NA
"ASV_255","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucariaceae_gen_Incertae_sedis",NA
"ASV_256","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Butlerelfia","s__eustacei"
"ASV_257","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_258","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Pythiales","f__Pythiaceae",NA,NA
