"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"41","ASV_41","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Cylindrosympodiaceae","g__Cylindrosympodium",NA
"42","ASV_42","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__radicina"
"43","ASV_43","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"44","ASV_44","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"45","ASV_45","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__bellidis"
"46","ASV_46","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Ophiognomonia","s__setacea"
"47","ASV_47","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae",NA,NA
"48","ASV_48","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__yunnanensis"
"49","ASV_49","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"50","ASV_50","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__sorghinum"
"51","ASV_51","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Efibulobasidium",NA
"52","ASV_52","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"53","ASV_53","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__yunnanensis"
"54","ASV_54","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora"
"55","ASV_55","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__aureocitrinum"
"56","ASV_56","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Pseudoophiobolus","s__pseudoitalicus"
"57","ASV_57","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"58","ASV_58",NA,NA,NA,NA,NA,NA,NA
"59","ASV_59","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"60","ASV_60",NA,NA,NA,NA,NA,NA,NA
"61","ASV_61","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii"
"62","ASV_62","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neoophiobolus","s__chromolaenae"
"63","ASV_63","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__confluens"
"64","ASV_64",NA,NA,NA,NA,NA,NA,NA
"65","ASV_65","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__inaequalis"
"66","ASV_66",NA,NA,NA,NA,NA,NA,NA
"67","ASV_67","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__cladosporioides"
"68","ASV_68","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Circinotrichum","s__maculiforme"
"69","ASV_69",NA,NA,NA,NA,NA,NA,NA
"70","ASV_70","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"71","ASV_71",NA,NA,NA,NA,NA,NA,NA
"72","ASV_72","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"73","ASV_73","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__rimosum"
"74","ASV_74","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__radicina"
"75","ASV_75","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__tallbackaensis"
"76","ASV_76","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__guiyangensis"
"77","ASV_77","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Helicogoniaceae","g__Eleutheromyces",NA
"78","ASV_78","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"79","ASV_79",NA,NA,NA,NA,NA,NA,NA
"80","ASV_80","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__ledniceana"
"81","ASV_81","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"82","ASV_82",NA,NA,NA,NA,NA,NA,NA
"83","ASV_83","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"84","ASV_84","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"85","ASV_85",NA,NA,NA,NA,NA,NA,NA
"86","ASV_86","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__immutabilis"
"87","ASV_87","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Hyphodermella","s__rosae"
"88","ASV_88",NA,NA,NA,NA,NA,NA,NA
"89","ASV_89","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__rishikesha"
"90","ASV_90","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__obsoletum"
"91","ASV_91",NA,NA,NA,NA,NA,NA,NA
"92","ASV_92","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"93","ASV_93","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"94","ASV_94","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Butlerelfia","s__eustacei"
"95","ASV_95",NA,NA,NA,NA,NA,NA,NA
"96","ASV_96","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma",NA
"97","ASV_97",NA,NA,NA,NA,NA,NA,NA
"98","ASV_98","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__obsoletum"
"99","ASV_99","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Paulisebacina",NA
"100","ASV_100","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"101","ASV_101","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seimatosporium",NA
"102","ASV_102","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Hazslinszkyomyces",NA
"103","ASV_103",NA,NA,NA,NA,NA,NA,NA
"104","ASV_104","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA
"105","ASV_105","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeria","s__contecta"
"106","ASV_106","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Briansuttonomyces","s__eucalypti"
"107","ASV_107","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__obsoletum"
"108","ASV_108","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__chrysanthemicola"
"109","ASV_109","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora"
"110","ASV_110",NA,NA,NA,NA,NA,NA,NA
"111","ASV_111","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"112","ASV_112","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","s__gibbosa"
"113","ASV_113","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"114","ASV_114",NA,NA,NA,NA,NA,NA,NA
"115","ASV_115","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium",NA
"116","ASV_116","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"117","ASV_117","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Paulisebacina",NA
"118","ASV_118","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Efibulobasidium",NA
"119","ASV_119","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Microsporomycetaceae","g__Microsporomycetaceae_gen_Incertae_sedis",NA
"120","ASV_120","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__immutabilis"
"121","ASV_121","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma","s__acutofulvum"
"122","ASV_122","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"123","ASV_123",NA,NA,NA,NA,NA,NA,NA
"124","ASV_124","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hymenogaster",NA
"125","ASV_125",NA,NA,NA,NA,NA,NA,NA
"126","ASV_126","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Eustigmatos",NA
"127","ASV_127","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Discosiaceae","g__Discosia",NA
"128","ASV_128","k__Fungi",NA,NA,NA,NA,NA,NA
"129","ASV_129",NA,NA,NA,NA,NA,NA,NA
"130","ASV_130","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Verrucoccum","s__coppinsii"
"131","ASV_131","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Stagonosporopsis","s__oculi-hominis"
"132","ASV_132",NA,NA,NA,NA,NA,NA,NA
"133","ASV_133","k__Fungi",NA,NA,NA,NA,NA,NA
"134","ASV_134","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"135","ASV_135","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"136","ASV_136","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Immersidiscosia","s__eucalypti"
"137","ASV_137","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__flanaganii"
"138","ASV_138",NA,NA,NA,NA,NA,NA,NA
"139","ASV_139","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__guiyangensis"
"140","ASV_140","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"141","ASV_141","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"142","ASV_142",NA,NA,NA,NA,NA,NA,NA
"143","ASV_143","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"144","ASV_144","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__chrysanthemicola"
"145","ASV_145","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__symmetrica"
"146","ASV_146","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__frigida"
"147","ASV_147",NA,NA,NA,NA,NA,NA,NA
"148","ASV_148","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Herpotrichia",NA
"149","ASV_149","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Tremiscus",NA
"150","ASV_150","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Cylindrosympodiaceae","g__Cylindrosympodium",NA
"151","ASV_151",NA,NA,NA,NA,NA,NA,NA
"152","ASV_152",NA,NA,NA,NA,NA,NA,NA
"153","ASV_153","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"154","ASV_154","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora","s__acuminata"
"155","ASV_155","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma","s__silvicola"
"156","ASV_156","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"157","ASV_157","k__Fungi","p__Kickxellomycota","c__Kickxellomycota_cls_Incertae_sedis","o__Kickxellomycota_ord_Incertae_sedis","f__Kickxellomycota_fam_Incertae_sedis","g__Kickxellomycota_gen_Incertae_sedis",NA
"158","ASV_158",NA,NA,NA,NA,NA,NA,NA
"159","ASV_159","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma","s__rhodiolum"
"160","ASV_160",NA,NA,NA,NA,NA,NA,NA
"161","ASV_161","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__aplospora"
"162","ASV_162","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__poagena"
"163","ASV_163","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris",NA
"164","ASV_164",NA,NA,NA,NA,NA,NA,NA
"165","ASV_165","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula","s__cryptocephala"
"166","ASV_166","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"167","ASV_167","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Eonema","s__pyriforme"
"168","ASV_168","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae",NA,NA
"169","ASV_169","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus","s__globosus"
"170","ASV_170","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Thelephora",NA
"171","ASV_171","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Helicogoniaceae","g__Eleutheromyces",NA
"172","ASV_172",NA,NA,NA,NA,NA,NA,NA
"173","ASV_173","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella","s__arnaudii"
"174","ASV_174","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Eustigmatos",NA
"175","ASV_175","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus",NA
"176","ASV_176","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Pseudoanungitea",NA
"177","ASV_177",NA,NA,NA,NA,NA,NA,NA
"178","ASV_178","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"179","ASV_179","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__quadriseptata"
"180","ASV_180","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"181","ASV_181",NA,NA,NA,NA,NA,NA,NA
"182","ASV_182",NA,NA,NA,NA,NA,NA,NA
"183","ASV_183","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"184","ASV_184","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__ambigua"
"185","ASV_185",NA,NA,NA,NA,NA,NA,NA
"186","ASV_186",NA,NA,NA,NA,NA,NA,NA
"187","ASV_187","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Trichomeriaceae_gen_Incertae_sedis",NA
"188","ASV_188","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","s__roseipellis"
"189","ASV_189","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"190","ASV_190","k__Fungi","p__Kickxellomycota","c__Kickxellomycota_cls_Incertae_sedis","o__Kickxellomycota_ord_Incertae_sedis","f__Kickxellomycota_fam_Incertae_sedis","g__Kickxellomycota_gen_Incertae_sedis",NA
"191","ASV_191","k__Protista","p__Bacillariophyta","c__Bacillariophyta_cls_Incertae_sedis","o__Bacillariophyta_ord_Incertae_sedis","f__Bacillariophyta_fam_Incertae_sedis","g__Bacillariophyta_gen_Incertae_sedis",NA
"192","ASV_192","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Pholiota","s__tennesseensis"
"193","ASV_193","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"194","ASV_194","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11","f__GS11_fam_Incertae_sedis","g__GS11_gen_Incertae_sedis",NA
"195","ASV_195",NA,NA,NA,NA,NA,NA,NA
"196","ASV_196","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__tricinctum"
"197","ASV_197","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__collo-cygni"
"198","ASV_198","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"199","ASV_199","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellales_fam_Incertae_sedis","g__Mortierellales_gen_Incertae_sedis",NA
"200","ASV_200",NA,NA,NA,NA,NA,NA,NA
"201","ASV_201",NA,NA,NA,NA,NA,NA,NA
"202","ASV_202","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cylindriaceae","g__Cylindrium",NA
"203","ASV_203","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA
"204","ASV_204","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Melanophoma",NA
"205","ASV_205",NA,NA,NA,NA,NA,NA,NA
"206","ASV_206",NA,NA,NA,NA,NA,NA,NA
"207","ASV_207",NA,NA,NA,NA,NA,NA,NA
"208","ASV_208","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Eonema","s__pyriforme"
"209","ASV_209","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__flanaganii"
"210","ASV_210",NA,NA,NA,NA,NA,NA,NA
"211","ASV_211","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Thelidium",NA
"212","ASV_212",NA,NA,NA,NA,NA,NA,NA
"213","ASV_213",NA,NA,NA,NA,NA,NA,NA
"214","ASV_214","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia",NA
"215","ASV_215","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora","s__prunorum"
"216","ASV_216","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactifluus","s__armeniacus"
"217","ASV_217",NA,NA,NA,NA,NA,NA,NA
"218","ASV_218",NA,NA,NA,NA,NA,NA,NA
"219","ASV_219","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Cymbellales","f__Gomphonemataceae","g__Gomphonema","s__parvulum"
"220","ASV_220","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"221","ASV_221","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"222","ASV_222","k__Fungi",NA,NA,NA,NA,NA,NA
"223","ASV_223",NA,NA,NA,NA,NA,NA,NA
