"","01m01_B","01m01_L","01m01_S","01m02_B","01m02_L","01m02_S","01m03_B","01m03_L","01m03_S","01m04_B","01m04_L","01m04_S","01m05_B","01m05_L","01m05_S","01m06_B","01m06_L","01m06_S","02m01_B","02m01_L","02m01_S","02m02_B","02m02_L","02m02_S","02m03_B","02m03_L","02m03_S","02m04_L","02m04_S","02m05_B","02m05_L","02m06_B","02m06_L","02m06_S","02m07_B","02m07_L","02m07_S","02m08_L","02m08_S","02m09_B","02m09_L","02m09_S","02m10_B","02m10_L","02m10_S","02m11_B","02m11_S","04m01_B","04m01_L","04m01_S","04m02_B","04m02_L","04m02_S","04m03_B","04m03_L","04m03_S","04m04_B","04m04_L","04m04_S","04m05_B","04m05_L","04m05_S","04m06_B","04m06_L","04m06_S","04m07_L","04m07_S","04m08_L","04m08_S","04m09_B","04m09_L","04m09_S","04m10_B","04m10_L","04m10_S","04m11_B","04m11_L","04m11_S","04m12_B","04m12_L","04m12_S","04m13_B","04m13_L","04m13_S","04t01_B","04t01_L","04t01_S","04t02_B","04t02_L","04t02_S","04w01_B","04w01_L","04w01_S","04w02_B","04w02_L","04w02_S","04w03_B","04w03_L","04w03_S","04w04_L","04w04_S","20m01_L","20m01_S","20m02_B","20m02_L","20m02_S","20m03_B","20m03_L","20m03_S","20m04_B","20m04_L","20m04_S","20m05_B","20m05_L","20m05_S","sfm01_B","sfm01_L","sfm01_S","sfm02_B","sfm02_L","sfm02_S","sfm03_B","sfm03_L","sfm03_S","sfm04_B","sfm04_L","sfm04_S","sfm05_B","sfm05_L","sfm05_S","sfm06_B","sfm06_L","sfm06_S","sfm07_B","sfm07_L","sfm07_S","Sft01_B","Sft01_L","Sft01_S","Sft02_B","Sft02_L","Sft02_S"
"f__Tuberaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,89,0,0,45,4,0,268,86,0,1091,0,23,0,0,0,2,157,0,0,4040,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,4,1,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,5,7,0,198,0,0,11,0,0,0,0,0,0,0,0,74,186,0,577,0,0,0,0,0,4,0,0,11,0,0,242,0,0,0,7,0,222,0,0,0
"f__Leotiaceae",0,19,0,0,24,0,0,28,0,0,0,0,0,44,0,0,88,5,0,116,0,0,81,0,0,19,0,201,0,1,60,0,124,0,0,5,5,213,0,0,2650,0,0,512,129,0,1,13,543,0,0,46,0,0,6,525,7,625,0,0,30,0,0,56,2,0,0,20,0,0,461,0,0,200,0,0,38,0,0,193,4,0,25,0,0,80,0,0,134,0,0,153,0,0,10,0,0,0,0,6,0,283,0,0,14,0,0,49,0,0,609,0,0,568,0,0,78,2,0,138,0,0,71,0,0,127,0,0,0,0,0,31,29,0,9,32,0,727,8,5,31,0
"f__Teratosphaeriaceae",0,7,0,0,15,0,0,0,18,0,7,0,0,10,0,0,5,0,0,136,0,70,434,0,78,17,0,4,0,0,4,6,0,0,7,115,0,39,0,0,1,0,0,0,9,0,0,54,97,0,136,0,1,12,0,7,6,3,0,0,11,0,0,0,26,3,0,1,0,0,9,0,0,0,21,17,0,5,0,8,0,0,11,0,244,0,0,0,0,16,37,0,24,0,8,4,0,0,0,11,0,9,0,3,0,260,35,0,38,0,11,12,0,36,13,0,1603,0,1,0,0,14,0,0,33,1698,0,3,141,117,0,5,0,2,7,0,71,807,10,18,3,12
"f__Kickxellomycota_fam_Incertae_sedis",0,2,303,2,0,0,29,0,301,0,0,423,1,3,271,138,0,317,0,4,15,0,0,24,8,8,156,0,82,0,0,38,0,202,0,10,117,0,634,45,0,31,0,0,119,0,161,14,41,87,6,12,188,69,0,236,8,7,197,12,1,120,0,0,179,0,0,0,35,0,0,37,0,0,301,0,0,273,0,21,199,0,0,65,0,5,422,12,5,46,4,0,171,0,2,480,0,0,228,0,0,0,732,10,0,192,3,0,320,0,7,1901,0,0,723,19,0,183,9,0,195,0,0,0,0,0,33,6,4,206,0,4,242,3,0,102,43,0,263,4,0,188
"f__Neodevriesiaceae",0,17,0,0,28,0,5,132,0,0,61,0,0,392,0,0,66,0,0,35,4,0,9,0,38,43,0,65,0,0,57,20,17,0,5,443,0,368,0,9,29,0,160,163,10,0,5,99,110,2,10,114,5,17,0,0,6,69,0,2,89,3,0,37,0,35,28,24,3,10,25,0,116,2,0,82,33,4,23,131,0,9,43,0,48,214,12,37,1,0,174,55,18,0,37,0,0,12,0,57,0,208,3,0,0,0,16,397,0,23,158,0,0,94,8,52,18,0,4,57,2,0,22,0,0,38,16,6,147,0,0,96,0,5,48,3,2,19,4,11,163,0
"f__Hygrophoraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6778,0,0,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0
"f__Thelebolaceae",0,0,10,0,62,0,0,0,0,9,16,3,53,39,18,0,1032,156,0,33,0,0,11,277,20,0,32,24,3,2,131,427,16,199,11,9,44,21,6,0,0,0,0,0,3093,0,295,1218,17,7,52,52,46,45,5,234,26,4,0,6,7,22,0,2,38,92,0,14,0,0,4,4,0,0,11,0,0,270,0,0,32,4,5,482,4,76,50,39,33,34,0,0,38,0,10,290,0,0,465,49,43,53,61,0,0,148,5,7,214,0,646,6,1,0,30,54,12,19,5,0,5,3,1,0,10,75,41,10,73,0,0,19,22,8,89,13,150,46,333,19,25,16
"f__Orbiliaceae",0,5,0,2,12,0,9,0,31,0,0,0,0,53,0,0,0,37,0,173,0,0,2,0,0,13,9,606,14,0,7,0,4,34,3,4,70,63,0,0,0,0,0,0,32,0,39,18,75,4,0,2,26,0,0,30,0,25,0,0,0,13,0,86,86,0,5,15,7,14,5,0,28,0,26,0,0,24,0,0,4,0,92,35,0,37,76,8,10,0,0,4,36,0,0,23,0,0,2,0,0,14,17,0,0,28,0,42,57,0,167,36,0,27,0,17,46,33,0,0,0,4,0,0,0,2,12,0,105,0,0,16,12,0,1659,35,0,20,14,0,1317,52
"f__Lentitheciaceae",6,22,28,60,107,0,27,26,18,0,97,14,35,110,6,18,235,62,4,71,17,0,7,20,172,25,21,41,2,12,90,96,32,31,60,748,77,199,2,0,30,32,0,60,43,0,60,16,340,101,12,1861,13,153,20,9,40,42,1,40,1129,51,1,306,61,543,23,38,0,0,32,18,19,0,0,0,9,20,0,1,0,145,56,5,14,74,4,90,132,25,18,34,90,0,37,85,0,8,64,98,25,107,38,29,1,34,77,99,38,38,189,4,2,246,18,67,22,13,26,115,13,0,4012,0,14,89,122,56,238,56,0,64,44,51,99,35,93,78,177,168,276,16
"f__Sebacinales_fam_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,147,0,0,349,0,806,0,0,63,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1552,6,0,0,0
"f__GS11_fam_Incertae_sedis",0,0,2,1,0,6,29,3,23,3,0,8,1,3,3,0,0,89,0,14,51,0,0,14,0,7,2,2,7,3,0,17,2,25,16,0,182,0,6,0,0,40,0,3,43,0,7,47,19,71,0,0,44,0,1,48,26,8,0,0,0,17,0,3,71,0,3,5,0,0,1,44,43,8,1029,0,0,8,0,0,18,0,0,33,0,0,0,5,3,0,0,0,18,0,2,64,0,0,27,0,0,38,140,0,5,32,3,1,47,6,13,488,0,10,53,0,6,25,12,0,61,0,0,0,23,31,21,7,3,3,0,5,28,13,9,18,10,11,41,17,51,57
"f__Trichomeriaceae",132,63,0,577,0,0,238,2,72,0,40,28,0,37,33,73,41,183,0,0,7,0,0,7,25,2,36,0,0,0,5,0,0,13,0,3,30,15,0,0,0,8,0,0,15,0,0,0,0,58,16,0,14,108,0,37,0,0,54,482,71,0,0,0,15,58,1,0,4,0,0,12,12,0,0,103,0,0,0,10,14,0,8,0,705,0,29,467,0,11,42,19,128,106,11,18,12,6,0,11,0,0,64,535,0,551,467,14,134,4,4,27,6,48,33,13,0,13,0,100,0,0,85,0,72,13,10,0,32,0,0,0,18,142,28,2,212,4,43,21,57,55
"f__Corticiaceae",0,0,0,0,3,0,0,3263,0,0,116,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,88,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,0,1,0,0,4,0,13,0,4,9,0,0,0,15,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0
"f__Bacillariophyta_fam_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,52,0,0,0,0,95,0,98,157,5,129,17,0,9,804,76,106,609,0,108,14,0,6,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,5,241,0,3,37,0,0,11,10,2,55,42,0,58,0,13,116,0,0,0,0,0,0,0,0
"f__Strophariaceae",0,0,20,2,0,0,17,0,13,0,0,4,0,19,65,87,24,161,0,137,24,0,35,28,39,88,37,32,80,0,18,82,27,17,22,0,122,3,30,0,13,0,3,0,54,0,0,8,29,16,0,3,66,0,0,79,14,7,2,0,0,0,19,3,39,26,14,10,0,0,2,33,28,0,628,0,0,1,0,0,36,0,0,2,0,0,0,34,7,28,82,0,21,0,15,13,0,0,2,7,0,9,436,0,0,20,7,8,0,0,3,0,0,0,2,20,37,2,21,8,274,0,1,0,0,29,31,8,3,587,0,8,72,27,11,141,23,5,0,23,9,0
"f__Nectriaceae",0,25,76,32,194,52,30,37,230,41,74,185,60,29,280,17,3,386,0,47,104,0,13,100,21,52,270,30,72,6,50,160,13,369,32,97,602,129,5,10,40,166,9,0,135,0,333,31,26,125,50,5,114,0,6,180,38,0,24,9,10,68,0,4,65,33,21,16,9,3,5,39,0,3,435,0,95,631,0,8,153,20,23,417,92,27,142,34,202,31,4,73,358,0,17,264,0,0,335,26,49,24,287,3,23,178,107,18,611,11,90,2886,0,45,139,78,22,125,24,3,507,0,0,134,0,80,108,34,108,117,0,58,234,51,146,235,56,45,299,33,67,203
"f__Pezizomycotina_fam_Incertae_sedis",8,0,2,44,581,0,29,26,20,0,29,25,47,28,17,6,162,40,18,26,1,109,29,31,359,108,21,128,50,12,39,59,124,26,64,80,54,116,10,126,0,26,95,85,79,0,56,123,428,160,28,78,84,2,11,127,27,22,0,5,49,28,0,167,23,19,20,41,17,11,40,45,35,2,57,13,622,165,0,40,878,34,198,282,22,31,50,191,91,15,0,72,88,0,200,102,0,0,72,0,0,18,43,13,0,8,15,85,44,48,15,345,0,384,47,132,24,61,37,59,88,0,639,0,0,247,115,20,41,71,10,63,76,16,32,93,258,80,82,259,226,41
"f__Mortierellales_fam_Incertae_sedis",0,0,0,0,0,0,0,13,32,0,0,786,0,0,0,0,0,145,0,0,0,0,0,69,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,74,2,0,1605,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,93,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,0,26,0,0,0,0,0,0,0,56,0,0,32,0,7,0,0,1,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,7,0,129,3,0,90,0,0,0
"f__Cylindriaceae",0,45,0,0,2,0,0,130,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0
"f__Auriculariales_fam_Incertae_sedis",17,3,0,0,7,0,0,172,0,0,0,0,0,12,73,0,34,32,0,65,0,0,0,0,0,0,0,0,0,0,0,0,22,20,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,720,3,0,0,6,0,0,0,0,0,0,0,216,0,0,1351,0,8,3,4,0,2,0,0,0,0,0,0,0,0,0,237,0,0,0,1,0,16,0,0,25,0,0,10,43,0,66,0,9,323,0,0,78,0,0,108,0,0,0,0,0,0,0,0,609,76,0,0,11,0,0,0
"f__Dothioraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,1,2,0,4,0,20,0,0,240,0,0,3,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,88,0,6,5,0,0,1206,3,0,18,0,0,147,0,0,184,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,4,0
"f__Gomphonemataceae",0,11,0,5,0,0,75,0,13,0,0,146,53,0,10,15,0,0,88,0,0,0,29,12,38,0,16,580,36,44,0,50,12,0,79,14,38,0,2,4,394,20,154,53,22,353,3022,121,0,0,112,0,23,71,0,0,261,13,0,504,0,0,67,5,0,0,28,73,0,1037,144,0,69,0,12,154,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,19,0,10,29,0,0,41,66,0,0,0,0,0,0,0,0,0,1,0,0,21,0,4,131,10,4,230,0,0,8,3,0,0,25,19,108,4,0,39,7,0,261,2,0,0,43,0,10,0,0
"f__Neopyrenochaetaceae",0,5,26,6,0,0,0,0,0,0,25,0,0,10,0,0,102,25,0,18,0,0,9,7,271,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,67,0,27,8,0,0,36,0,22,0,0,0,3,13,0,99,2,5,48,1,6,0,0,0,0,445,0,0,0,0,0,0,10,1,0,0,0,0,7,0,3,0,1,0,8,28,0,89,143,225,0,0,7,0,0,38,8,0,11,24,40,34,4,16,0,0,2,5,0,23,0,22,5,3,92,8,0,4,49,23,17,146,21,0,7,20,29,21,35,80,24,16,8,11,0
"f__Rhynchogastremataceae",0,2,0,0,8,0,11,3,0,0,8,0,0,9,0,0,7,0,0,11,0,0,3,0,0,77,0,7,3,1,43,2,53,3,9,209,4,49,0,0,27,0,20,2,0,0,0,0,27,4,2,12,2669,19,0,2,2,0,0,0,8,0,1,2,0,1,0,0,0,0,1,0,0,0,8,0,0,10,0,3,24,0,2,8,0,3,0,3,1,0,10,17,0,0,4,6,0,4,3,22,0,9,0,0,0,0,10,7,0,10,26,5,0,6,8,0,9,0,0,0,2,0,70,0,0,14,1,4,8,0,0,4,0,10,14,0,5,31,0,17,10,6
"f__Bulleribasidiaceae",2,318,3,26,106,0,22,198,8,19,290,8,24,1274,25,34,498,4,14,231,12,328,222,5,452,1105,1,82,4,9,348,51,65,9,85,1586,12,781,5,0,410,0,311,133,16,0,18,438,53,12,162,79,11,0,113,32,54,113,0,30,169,47,184,38,5,958,19,48,29,13,39,0,450,0,3,152,175,25,220,76,28,11,367,0,20,118,0,30,40,3,149,331,15,0,564,35,55,1540,10,730,0,2586,13,34,2,0,82,316,12,43,680,8,19,54,11,366,109,10,118,78,18,346,515,0,183,398,208,87,280,3,15,59,33,87,371,33,36,146,32,41,678,3
"f__Dothideales_fam_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__Pythiaceae",0,0,0,0,0,0,0,0,0,0,39,0,0,5,6,0,0,0,0,7,0,0,5,0,0,5,0,14,0,0,3,7,0,3,2,101,0,0,0,0,933,0,0,1,0,0,0,75,3,5,0,4,0,0,0,2,0,3,0,0,0,21,0,3,0,0,0,0,0,0,29,0,0,125,0,0,13,0,0,0,19,0,0,3,0,1,0,0,917,7,0,1,0,0,35,15,0,0,9,0,22,0,0,0,648,0,0,3,0,0,8,76,0,198,0,0,26,0,0,0,0,0,11,0,0,11,0,2,535,0,0,0,0,2,0,2,9,15,17,9,1,0
"f__Botryosphaeriaceae",15,12,42,5,48,0,16,5,7,0,0,0,7,23,11,0,1,21,0,24,21,0,18,3,26,45,2,28,61,3,126,168,6,21,9,18,124,59,0,0,4,40,30,42,74,0,122,91,50,55,27,0,56,73,7,43,25,0,0,0,89,4,0,4,18,2,13,17,0,3,9,0,45,3,29,0,7,0,0,3,0,0,1,1,29,54,69,16,58,9,49,0,246,0,43,78,0,3,79,0,0,57,131,6,9,63,28,70,222,33,99,57,2,13,28,78,15,40,14,72,0,0,7,85,0,29,102,21,0,0,5,35,16,40,54,11,91,32,29,202,86,19
"f__Erythrobasidiaceae",8,22,11,0,94,0,1,53,3,0,129,0,0,226,0,15,56,0,0,48,3,0,14,15,0,64,0,14,0,3,95,16,11,14,21,887,0,117,0,0,113,0,0,79,7,0,3,23,14,0,5,53,0,13,9,10,9,22,0,3,31,0,3,11,0,187,0,6,0,0,13,0,0,0,0,107,15,4,0,20,0,0,44,0,17,22,0,26,7,0,179,210,0,0,66,14,0,132,5,44,0,519,8,17,3,10,15,52,11,5,61,0,0,40,0,9,42,0,16,37,0,2,333,0,0,84,25,16,161,0,0,13,0,20,38,3,10,115,5,8,45,14
"f__Aliquandostipitaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,7,11,4,0,0,0,6,396,0,0,0,0,170,0,0,0,10,8,0,151,0,0,0,0,0,0,0,4,331,0,18,11,46,0,0,392,2,528,0,0,0,63,0,0,0,0,0,0,0,0,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,4,0,31,0,0,0,0,0,11,0,0,5,0,0,6,0,0,4,22,45,49,0,0,0,0
"f__Amniculicolaceae",0,26,12,4,29,0,1,9,7,0,12,10,2,40,11,0,8,13,0,222,0,1,69,0,17,5,0,159,13,3,82,45,113,58,18,25,52,196,2,59,1020,0,50,68,26,0,64,4,139,9,31,28,0,0,19,163,16,468,0,8,0,64,2,93,5,0,5,68,0,0,14,20,0,77,2,19,58,15,0,3,21,4,4,4,0,1,10,23,135,2,0,0,18,45,53,61,0,0,42,4,0,0,0,0,0,4,6,0,0,2,12,0,1,48,15,13,131,14,15,179,15,1,16,0,0,85,10,21,28,0,0,18,2,3,46,0,32,158,48,13,52,5
"f__Tricladiaceae",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,22,0,0,0,14,37,0,0,5,0,19,0,0,10,43,0,0,46,143,0,0,0,9,0,0,0,38,3,2,15,0,0,0,305,8,707,0,0,0,0,1,182,0,0,0,79,0,0,197,0,0,244,0,0,9,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,25,5,0,0,9,0,0,0,0,0,23,4,3,0,0,0,0,0,0,0,4,46,16,0,0,0
"f__Debaryomycetaceae",0,0,23,1,0,40,10,0,27,15,0,36,17,7,44,3,0,39,0,0,3,0,0,13,0,0,26,3,10,0,0,24,0,23,0,0,234,0,0,0,0,507,0,0,16,0,22,1,0,42,0,0,32,0,0,27,0,0,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,0,55,0,0,21,0,0,42,0,0,8,0,2,0,0,0,0,0,0,10,0,0,23,0,0,53,0,0,0,13,0,0,0,0,0,18,0,0,352,0,0,1,0,0,39,0,0,5,0,0,0,0,3,4,0,0,18,0,0,28,0,0,20,0,0,34,0,0,17
"f__Rutstroemiaceae",0,374,29,2,7,0,31,49,16,0,24,0,0,317,0,0,0,0,5,2513,7,6,36,0,0,0,0,20,0,2,0,0,0,2,0,6,16,12,1,0,3,0,0,4,0,0,0,1,8,12,0,0,2,0,4,3,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1096,6,0,0,2,0,0,0,0,0,0,0,0,0,11,31,12,15,0,11,0,7,0,4,677,12,8,0,11,0,8,0,9,51,12,97,49,23,0,0,0
"f__Ascobolaceae",0,0,0,0,32,0,0,0,0,0,0,8,0,0,40,0,0,0,0,195,0,0,3,0,1,0,0,2,0,0,0,0,1299,12,5,0,12,0,0,0,0,0,0,0,29,0,138,3,14,5,0,0,92,0,5,129,1,1,0,3,4,201,0,38,79,0,0,1,35,0,0,0,0,0,13,0,0,145,0,0,267,0,5,84,0,1,0,1,1496,2,0,0,5,0,0,10,0,0,70,0,0,0,0,0,0,0,0,0,4,0,0,270,0,3,0,0,18,3,11,5,0,0,0,0,0,10,1,0,2,0,0,630,22,0,10,63,0,0,101,1,0,0
"f__Irpicaceae",105,1,30,27,75,0,86,0,9,674,18,17,5,7,3,0,30,0,0,35,3,0,37,28,0,38,0,8,0,4,44,21,0,0,3,15,43,18,0,0,24,0,11,0,12,0,12,8,39,65,15,0,7,315,2,4,19,8,0,15,50,0,31,11,0,52,2,10,0,9,25,6,72,0,0,138,1,4,0,0,19,0,0,0,5,2,3,37,50,25,56,26,29,0,46,9,323,0,55,0,0,128,67,72,234,20,63,15,11,14,14,32,14,34,14,78,20,20,86,23,43,52,68,0,34,110,80,55,16,122,0,22,0,72,47,21,45,40,54,52,19,23
"f__Pannariaceae",0,35,0,11,0,0,31,0,16,0,5,0,0,26,0,17,29,0,0,6,0,44,3,0,82,3,29,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,82,0,6,112,0,104,0,19,63,0,26,115,2,23,8,2,0,2,78,3,2,14,6,3,6,2,0,0,6,0,244,0,2,13,0,1,0,5,0,0,0,0,0,5,0,4,0,0,4,0,337,0,35,94,155,0,0,38,0,7,31,0,6,8,5,0,4,0,25,0,4,0,0,30,7,6,4,0,6,0,4,0,97,23,0,0,40,0,0,6,5,13,47,32,170,104,50,0,33,0
"f__Orbiliales_fam_Incertae_sedis",0,0,35,12,11,0,0,0,74,0,7,7,0,0,64,0,5,16,0,11,0,0,0,0,46,0,0,0,75,0,0,0,0,0,9,1,34,0,0,0,0,37,0,0,34,0,16,0,3,0,16,0,7,0,0,2,3,0,0,0,0,0,0,0,6,13,0,1,0,0,0,0,0,0,0,0,0,23,0,0,10,0,0,33,0,1,101,97,0,36,0,0,194,0,12,61,0,0,29,12,0,5,41,33,0,216,8,0,149,0,0,19,0,0,2,0,6,28,5,0,0,0,0,0,0,16,0,2,4,8,0,26,25,3,37,75,9,1,22,140,8,80
"f__Sordariales_fam_Incertae_sedis",0,2,0,0,8,0,0,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,39,0,0,0,0,34,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,59,5,0,49,3,0,0,0
"f__Diaporthaceae",16,3,6,0,0,0,29,3,0,0,25,0,0,4,0,21,12,0,0,115,1,5,33,21,0,43,31,11,0,33,276,225,32,79,140,65,109,113,2,0,42,12,0,0,13,0,4,0,0,13,0,0,11,24,6,9,0,0,0,7,4,0,0,4,14,2,0,0,0,0,11,33,0,0,0,0,25,4,0,7,1,0,0,0,16,20,0,37,26,0,0,7,5,35,38,3,0,0,32,0,0,0,9,21,18,0,15,16,2,0,21,0,0,0,5,36,14,0,0,4,5,0,7,0,51,0,0,35,9,9,13,28,26,47,41,0,48,16,0,23,18,0
"f__Amphisphaeriaceae",0,0,29,0,0,0,0,16,18,0,0,18,34,3,28,0,0,27,0,181,3,12,71,17,0,41,9,1,0,0,6,7,0,34,6,48,19,1,0,0,0,0,0,0,28,0,23,5,12,41,7,1,19,0,0,34,11,1,61,3,0,14,0,0,21,1,0,0,10,0,1,36,0,0,106,0,40,53,0,0,5,0,224,3,0,0,42,4,5,24,38,0,14,0,1,23,0,0,13,0,0,16,20,0,0,8,0,3,33,0,1,218,0,0,0,21,1140,13,13,17,33,40,0,0,0,82,0,13,59,28,0,5,10,1,11,9,56,47,5,0,5,25
"f__Nothodactylariaceae",0,8,0,0,0,0,0,152,0,0,0,0,1,150,0,0,376,0,0,6,0,0,17,0,0,19,0,59,0,0,56,3,0,0,0,0,0,17,0,0,0,0,0,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,32,0,0,38,0,0,865,0,0,0,0,0,0,0,0,82,1,0,0,0,170,0,0,0,0,0,0,0,503,0,0,127,0,0,182,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,108,0,0,33,0
"f__Fragilariaceae",4,7,432,0,0,0,4,0,31,0,0,147,0,0,65,12,0,46,0,0,4,0,0,15,1,4,37,8,59,0,0,84,38,92,3,0,9,0,8,0,0,0,0,0,0,0,109,6,0,308,22,0,150,0,0,7,6,0,0,7,0,11,0,0,6,0,34,0,0,0,16,0,0,0,38,0,0,27,16,0,141,0,0,11,3,7,36,69,9,0,0,0,281,101,0,148,0,0,419,0,0,0,0,6,0,24,0,0,0,0,0,0,7,1,9,80,4,68,11,0,17,13,0,0,0,2,4,24,0,19,0,99,10,214,33,0,215,0,83,14,4,0
