siteid,Site,sticID,wet_dry,n_wet,n_total,prc_missing,prc_wet,tempC_mean,LeafSpecies1,LeafSpecies2,LeafSpecies3,Elm,Populus,Oak,Locust,Graminales,Elderberry,Rubrus,Forb,Shrub,Unknown,Sediment Texture Description,Percent Rocks,Percent Leaf Litter,Percent Sediment,meanN2Ar,meanO2Ar,meanO2
04M12,04m12,04M12_1,WET,10643,40546,0.280806002,0.262491984,13.88961895,Grass,Grass,Elm,1,0,0,0,1,0,0,0,0,0,Sily clay gravel,40,1,30,39.1988,15.23207,216.4251
04M13,04m13,04M13_1,DRY,4719,51568,0.085300743,0.091510239,17.22484603,Elm,Forb,Grass,1,0,0,0,1,0,0,1,0,0,Silty clay loam,50,4,35,,,
04T01,04t01,04T01_1,DRY,2611,44751,0.206218848,0.058345065,16.84455476,Elm,Elm,Grass,1,0,0,0,1,0,0,0,0,0,Silty clay,60,1,40,,,
04T02,04t02,04T02_1,WET,7052,19708,0.650424819,0.357824234,13.64136087,Grass,Grass,Elm,1,0,0,0,1,0,0,0,0,0,Sandy silt and OM,40,20,40,36.4133,20.44076,266.4446
04W01,04w01,04W01_1,DRY,1484,38281,0.320981961,0.038765967,16.93138084,Populus,Populus,Oak,0,1,1,0,0,0,0,0,0,0,Sandy silty loam,90,1,10,,,
04W02,04w02,04W02_1,WET,310,11571,0.794756727,0.026791116,10.43837438,Elm,Elm,Populus,1,1,0,0,0,0,0,0,0,0,Silty clay loam,60,1,40,39.47468,13.0272,182.796
04W03,04w03,04W03_1,WET,2048,18654,0.669120386,0.109788785,13.10413263,Elderberry,none,none,0,0,0,0,0,1,0,0,0,0,Sandy,80,1,20,38.60776,17.65517,242.7429
04W04,04w04,04W04_1,WET,20950,43802,0.223051954,0.478288663,11.23369641,Elm,none,none,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,40.62702,8.231568,121.9809
20M01,20m01,20M01_1,DRY,2331,43682,0.225180481,0.053362941,17.58322124,Oak,Oak,Oak,0,0,1,0,0,0,0,0,0,0,Clay and sand,NA,NA,NA,,,
20M02,20m02,20M02_1,WET,4417,42685,0.242864998,0.103478974,14.85839405,Populus,Populus,Populus,0,1,0,0,0,0,0,0,0,0,Sandy clay,NA,NA,NA,,,
20M03,20m03,20M03_1,DRY,0,2013,0.96429395,0,20.30787879,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,Sandy gravel clay,96,3,1,,,
20M04,20m04,20M04_1,WET,5125,35991,0.361601362,0.14239671,19.1380384,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,NA,70,15,15,37.82488,18.27293,257.9912
20M05,20m05,20M05_1,WET,8275,35274,0.374319315,0.234592051,14.70540483,Rubrus,Populus,Elm,1,1,0,0,0,0,1,0,0,0,NA,92,1,7,37.49003,20.5453,284.1714
SFM01,sfm01,SFM01_1,WET,8806,36580,0.351153839,0.240732641,14.38459541,Elm,Oak,Oak,1,0,1,0,0,0,0,0,0,0,Gravel fine,NA,NA,NA,37.84584,17.72524,248.7184
SFM02,sfm02,SFM02_1,WET,3133,22614,0.598878975,0.138542496,16.54491598,Elm,Populus,Oak,1,1,1,0,0,0,0,0,0,0,NA,93,2,5,37.37885,19.13527,257.8768
SFM03,sfm03,SFM03_1,WET,8145,46147,0.181456977,0.176501181,11.20251826,Oak,Oak,Populus,0,1,1,0,0,0,0,0,0,0,NA,75,10,15,39.56851,17.27026,236.4955
SFM04,sfm04,SFM04_1,WET,14848,56095,0.00500204,0.264693823,13.11565772,Oak,Oak,Elm,1,0,1,0,0,0,0,0,0,0,NA,80,1,19,41.10526,16.29677,229.6165
SFM05,sfm05,SFM05_1,WET,9553,36564,0.351437643,0.261267914,14.94888141,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,Silt and gravel,85,1,15,39.02887,18.86044,267.3889
SFM06,sfm06,SFM06_1,WET,7661,31855,0.434964613,0.240495997,12.0686065,Oak,Oak,Populus,0,1,1,0,0,0,0,0,0,0,More sandy,90,1,9,38.29906,18.48537,255.1875
SFM07,sfm07,SFM07_1,WET,9928,54472,0.033790376,0.182258775,14.06835493,Elm,Oak,Oak,1,0,1,0,0,0,0,0,0,0,Sandy,94,5,1,40.03592,20.5603,269.5654
SFT01,Sft01,SFT01_1,WET,5492,9953,0.823456374,0.551793429,21.42031347,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,Silt and sand,30,40,30,39.00162,16.34799,223.8743
SFT02,Sft02,SFT02_1,WET,11834,39150,0.305567873,0.302273308,16.77315249,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,38.93783,17.1214,237.3192
